Ticker,Year,YoY_Close_Category,Ticker_Fold
IMPC,2022,positive,0
ARNA,2021,positive,0
APEX,2022,negative,0
INAI,2021,negative,0
GMFI,2023,negative,0
GOLD,2023,negative,0
BMSR,2021,positive,0
CTTH,2022,neutral,0
KOPI,2021,negative,0
ARNA,2022,negative,0
IMPC,2023,neutral,0
IMPC,2024,negative,0
ADRO,2021,positive,0
INAF,2021,negative,0
BIPP,2021,negative,0
GTBO,2021,neutral,0
FIRE,2021,negative,0
GTBO,2023,positive,0
TBMS,2024,neutral,0
CINT,2023,negative,0
ARNA,2023,negative,0
BOLT,2023,positive,0
GMFI,2024,positive,0
BLTA,2024,positive,0
BKDP,2024,negative,0
BMSR,2022,negative,0
CTTH,2024,positive,0
IDPR,2024,positive,0
BIPI,2022,positive,0
CTTH,2021,negative,0
IPCM,2022,neutral,0
IPCM,2023,negative,0
ARII,2024,neutral,0
BMSR,2024,negative,0
FAST,2024,negative,0
GOLD,2024,negative,0
BLUE,2023,positive,0
BUMI,2024,positive,0
APEX,2023,negative,0
DSNG,2024,positive,0
GHON,2023,neutral,0
BUMI,2022,positive,0
BOLT,2022,negative,0
BIPI,2023,negative,0
NATO,2024,neutral,0
BOLT,2021,positive,0
GOLD,2022,positive,0
ARII,2022,negative,0
CINT,2024,positive,0
GOLD,2021,negative,0
HKMU,2022,neutral,0
BLUE,2022,positive,0
BIPP,2022,negative,0
INDO,2024,positive,0
JSPT,2022,neutral,0
BLTA,2023,negative,0
ARII,2023,positive,0
LPPF,2022,negative,0
DGNS,2024,negative,0
ARNA,2024,positive,0
IMPC,2021,positive,0
BLTA,2022,neutral,0
ADRO,2024,neutral,0
BIPI,2024,positive,0
BUMI,2021,positive,0
INAI,2022,negative,0
ARII,2021,negative,0
NRCA,2021,neutral,0
JSPT,2024,positive,0
IPCM,2024,positive,0
FAST,2021,negative,0
DSNG,2021,neutral,0
KOPI,2023,negative,0
CTTH,2023,negative,0
INAF,2024,neutral,0
GHON,2022,negative,0
SPTO,2022,neutral,0
LPPF,2021,positive,0
CINT,2021,positive,0
FIRE,2023,positive,0
DGNS,2023,neutral,0
JSPT,2023,positive,0
FIRE,2022,negative,0
IDPR,2021,positive,0
BMSR,2023,neutral,0
NATO,2021,neutral,0
GAMA,2021,neutral,0
GHON,2024,neutral,0
TARA,2021,neutral,0
BOLT,2024,positive,0
BLUE,2024,neutral,0
KOPI,2022,negative,0
ADRO,2022,negative,0
DSNG,2023,positive,0
BKDP,2021,positive,0
ADRO,2023,positive,0
BLTA,2021,neutral,0
INDO,2023,neutral,0
KOPI,2024,positive,0
HOKI,2024,negative,0
