Ticker,Year,YoY_Close_Category,Ticker_Fold
ACES.JK,2021,negative,0
ACES.JK,2022,negative,0
ACES.JK,2023,positive,0
ACES.JK,2024,negative,0
APLN.JK,2021,negative,0
APLN.JK,2022,positive,0
APLN.JK,2023,negative,0
APLN.JK,2024,neutral,0
ASII.JK,2021,positive,0
ASII.JK,2022,positive,0
ASII.JK,2023,negative,0
ASII.JK,2024,neutral,0
BLUE.JK,2022,positive,0
BLUE.JK,2023,positive,0
BLUE.JK,2024,neutral,0
BOLA.JK,2021,negative,0
BOLA.JK,2022,negative,0
BOLA.JK,2023,negative,0
BOLA.JK,2024,negative,0
BRMS.JK,2021,positive,0
BRMS.JK,2022,negative,0
BRMS.JK,2023,neutral,0
BRMS.JK,2024,positive,0
BRNA.JK,2021,negative,0
BRNA.JK,2022,negative,0
BRNA.JK,2023,negative,0
BRNA.JK,2024,neutral,0
BRPT.JK,2021,negative,0
BRPT.JK,2022,negative,0
BRPT.JK,2023,positive,0
BRPT.JK,2024,positive,0
BUDI.JK,2021,positive,0
BUDI.JK,2022,neutral,0
BUDI.JK,2023,positive,0
BUDI.JK,2024,negative,0
BUMI.JK,2021,positive,0
BUMI.JK,2022,positive,0
BUMI.JK,2023,negative,0
BUMI.JK,2024,positive,0
CANI.JK,2021,negative,0
CANI.JK,2022,negative,0
CANI.JK,2023,negative,0
CMPP.JK,2021,positive,0
CMPP.JK,2022,negative,0
CMPP.JK,2023,negative,0
CMPP.JK,2024,positive,0
CSIS.JK,2021,neutral,0
CSIS.JK,2022,negative,0
CSIS.JK,2023,negative,0
CSIS.JK,2024,positive,0
CTBN.JK,2021,negative,0
CTBN.JK,2022,negative,0
CTBN.JK,2023,negative,0
CTBN.JK,2024,positive,0
DEAL.JK,2021,negative,0
DEAL.JK,2022,neutral,0
DIGI.JK,2021,negative,0
DIGI.JK,2022,negative,0
DIGI.JK,2023,negative,0
DIGI.JK,2024,positive,0
DLTA.JK,2021,neutral,0
DLTA.JK,2022,positive,0
DLTA.JK,2023,negative,0
DLTA.JK,2024,negative,0
DSSA.JK,2021,positive,0
DSSA.JK,2023,positive,0
DSSA.JK,2024,positive,0
DUTI.JK,2021,positive,0
DUTI.JK,2022,neutral,0
DUTI.JK,2023,negative,0
DUTI.JK,2024,negative,0
EMTK.JK,2021,negative,0
EMTK.JK,2022,negative,0
EMTK.JK,2023,negative,0
EMTK.JK,2024,positive,0
ETWA.JK,2021,neutral,0
ETWA.JK,2022,positive,0
FLMC.JK,2024,negative,0
FMII.JK,2021,negative,0
FMII.JK,2022,positive,0
FMII.JK,2023,negative,0
FMII.JK,2024,positive,0
GGRP.JK,2022,negative,0
GGRP.JK,2023,neutral,0
GGRP.JK,2024,neutral,0
GOTO.JK,2024,positive,0
HOTL.JK,2021,neutral,0
HOTL.JK,2022,neutral,0
HOTL.JK,2023,neutral,0
INDR.JK,2021,positive,0
INDR.JK,2022,negative,0
INDR.JK,2023,negative,0
INDR.JK,2024,negative,0
INRU.JK,2021,negative,0
INRU.JK,2022,positive,0
INRU.JK,2023,negative,0
INRU.JK,2024,positive,0
INTD.JK,2021,neutral,0
INTD.JK,2022,negative,0
INTD.JK,2023,negative,0
INTD.JK,2024,positive,0
ITIC.JK,2022,neutral,0
ITIC.JK,2023,negative,0
ITIC.JK,2024,negative,0
KARW.JK,2021,negative,0
KARW.JK,2022,negative,0
KARW.JK,2023,positive,0
KARW.JK,2024,positive,0
KEJU.JK,2022,negative,0
KEJU.JK,2023,neutral,0
KEJU.JK,2024,positive,0
KIOS.JK,2023,negative,0
KIOS.JK,2024,neutral,0
KJEN.JK,2022,negative,0
KJEN.JK,2023,negative,0
LCKM.JK,2023,negative,0
LCKM.JK,2024,negative,0
LEAD.JK,2021,positive,0
LEAD.JK,2022,negative,0
LEAD.JK,2023,positive,0
LEAD.JK,2024,negative,0
LMSH.JK,2021,positive,0
LMSH.JK,2022,negative,0
LMSH.JK,2023,negative,0
LMSH.JK,2024,negative,0
LSIP.JK,2021,positive,0
LSIP.JK,2022,negative,0
LSIP.JK,2023,negative,0
LSIP.JK,2024,positive,0
MAPA.JK,2021,positive,0
MAPA.JK,2022,positive,0
MAPA.JK,2023,positive,0
MAPA.JK,2024,negative,0
MLPT.JK,2021,negative,0
MLPT.JK,2022,negative,0
MLPT.JK,2023,negative,0
MLPT.JK,2024,positive,0
MSIN.JK,2021,positive,0
MSIN.JK,2022,negative,0
MSIN.JK,2023,negative,0
MSIN.JK,2024,negative,0
MTPS.JK,2021,negative,0
MTPS.JK,2022,neutral,0
MTPS.JK,2023,negative,0
MTPS.JK,2024,positive,0
NPGF.JK,2023,negative,0
NPGF.JK,2024,positive,0
PANR.JK,2021,positive,0
PANR.JK,2022,positive,0
PANR.JK,2023,negative,0
PANR.JK,2024,positive,0
PGAS.JK,2021,positive,0
PGAS.JK,2023,positive,0
PGAS.JK,2024,positive,0
PTIS.JK,2021,negative,0
PTIS.JK,2022,positive,0
PTIS.JK,2023,negative,0
PTIS.JK,2024,positive,0
RDTX.JK,2021,neutral,0
RDTX.JK,2022,positive,0
RDTX.JK,2023,positive,0
RDTX.JK,2024,negative,0
RIGS.JK,2021,positive,0
RIGS.JK,2022,negative,0
RIGS.JK,2023,neutral,0
RIGS.JK,2024,positive,0
SGER.JK,2023,positive,0
SGER.JK,2024,negative,0
SHID.JK,2021,neutral,0
SHID.JK,2022,positive,0
SHID.JK,2023,negative,0
SHID.JK,2024,negative,0
SINI.JK,2022,positive,0
SINI.JK,2023,negative,0
SINI.JK,2024,positive,0
SKRN.JK,2021,positive,0
SKRN.JK,2022,positive,0
SKRN.JK,2023,negative,0
SKRN.JK,2024,positive,0
SMAR.JK,2021,positive,0
SMAR.JK,2022,positive,0
SMAR.JK,2023,negative,0
SMAR.JK,2024,neutral,0
SMGR.JK,2021,negative,0
SMGR.JK,2022,negative,0
SMGR.JK,2023,negative,0
SMGR.JK,2024,negative,0
SOSS.JK,2021,neutral,0
SOSS.JK,2022,positive,0
SOSS.JK,2023,negative,0
SOSS.JK,2024,neutral,0
SOTS.JK,2021,negative,0
SOTS.JK,2022,negative,0
SOTS.JK,2023,negative,0
SOTS.JK,2024,positive,0
SPMA.JK,2021,positive,0
SPMA.JK,2022,negative,0
SPMA.JK,2023,negative,0
SPMA.JK,2024,negative,0
TAPG.JK,2023,positive,0
TAPG.JK,2024,positive,0
TCID.JK,2021,negative,0
TCID.JK,2022,positive,0
TCID.JK,2023,negative,0
TCID.JK,2024,negative,0
TDPM.JK,2021,neutral,0
TDPM.JK,2022,neutral,0
TPMA.JK,2021,negative,0
TPMA.JK,2022,positive,0
TPMA.JK,2023,positive,0
TPMA.JK,2024,negative,0
VICI.JK,2023,positive,0
VICI.JK,2024,neutral,0
WEGE.JK,2021,neutral,0
WEGE.JK,2023,negative,0
WEGE.JK,2024,negative,0
WOOD.JK,2021,negative,0
WOOD.JK,2022,negative,0
WOOD.JK,2023,negative,0
WOOD.JK,2024,positive,0
AKRA.JK,2021,positive,1
AKRA.JK,2022,positive,1
AKRA.JK,2023,positive,1
AKRA.JK,2024,negative,1
ALMI.JK,2021,positive,1
ALMI.JK,2023,negative,1
ALMI.JK,2024,positive,1
ANDI.JK,2021,neutral,1
ANDI.JK,2022,neutral,1
ANDI.JK,2023,negative,1
ANDI.JK,2024,positive,1
APII.JK,2021,positive,1
APII.JK,2022,negative,1
APII.JK,2023,negative,1
APII.JK,2024,neutral,1
ARGO.JK,2021,neutral,1
ARGO.JK,2023,positive,1
ARGO.JK,2024,negative,1
BAJA.JK,2021,negative,1
BAJA.JK,2022,negative,1
BAJA.JK,2023,negative,1
BAJA.JK,2024,positive,1
BATA.JK,2021,negative,1
BATA.JK,2023,negative,1
BATA.JK,2024,negative,1
BEEF.JK,2024,positive,1
BEST.JK,2021,negative,1
BEST.JK,2022,positive,1
BEST.JK,2023,negative,1
BEST.JK,2024,neutral,1
BMSR.JK,2021,positive,1
BMSR.JK,2022,negative,1
BMSR.JK,2023,neutral,1
BMSR.JK,2024,negative,1
BSSR.JK,2021,positive,1
BSSR.JK,2022,positive,1
BSSR.JK,2023,positive,1
BSSR.JK,2024,positive,1
CARE.JK,2022,negative,1
CARE.JK,2023,negative,1
CARE.JK,2024,positive,1
CASH.JK,2022,negative,1
CASH.JK,2023,negative,1
CASH.JK,2024,negative,1
CLAY.JK,2021,negative,1
CLAY.JK,2022,negative,1
CLAY.JK,2024,positive,1
COCO.JK,2021,negative,1
COCO.JK,2022,positive,1
COCO.JK,2023,negative,1
COCO.JK,2024,positive,1
CPIN.JK,2022,negative,1
DFAM.JK,2021,positive,1
DFAM.JK,2022,negative,1
DFAM.JK,2023,negative,1
DFAM.JK,2024,neutral,1
EAST.JK,2023,positive,1
EDGE.JK,2023,neutral,1
EDGE.JK,2024,negative,1
ELTY.JK,2021,neutral,1
ELTY.JK,2022,neutral,1
ELTY.JK,2023,negative,1
ENRG.JK,2021,positive,1
ENRG.JK,2022,negative,1
ENRG.JK,2023,negative,1
ENRG.JK,2024,positive,1
FILM.JK,2021,positive,1
FILM.JK,2022,positive,1
FILM.JK,2023,positive,1
FILM.JK,2024,negative,1
GPRA.JK,2021,positive,1
GPRA.JK,2022,positive,1
GPRA.JK,2023,negative,1
GPRA.JK,2024,positive,1
HELI.JK,2021,negative,1
HELI.JK,2022,negative,1
HELI.JK,2023,positive,1
HELI.JK,2024,positive,1
INDX.JK,2021,positive,1
INDX.JK,2022,negative,1
INDX.JK,2023,negative,1
INDX.JK,2024,negative,1
IRRA.JK,2022,negative,1
IRRA.JK,2023,negative,1
IRRA.JK,2024,negative,1
JECC.JK,2022,negative,1
JECC.JK,2023,negative,1
JECC.JK,2024,positive,1
KBAG.JK,2022,neutral,1
KBAG.JK,2023,negative,1
KBAG.JK,2024,positive,1
KBLV.JK,2022,negative,1
KBLV.JK,2023,negative,1
KBLV.JK,2024,positive,1
KONI.JK,2021,positive,1
KONI.JK,2022,negative,1
KONI.JK,2023,negative,1
KONI.JK,2024,positive,1
KUAS.JK,2024,neutral,1
LAND.JK,2021,positive,1
LAND.JK,2022,negative,1
LAND.JK,2023,negative,1
LAND.JK,2024,positive,1
MAPB.JK,2022,positive,1
MAPB.JK,2023,negative,1
MAPB.JK,2024,positive,1
MERK.JK,2021,positive,1
MERK.JK,2022,positive,1
MERK.JK,2023,negative,1
MERK.JK,2024,negative,1
MGRO.JK,2021,positive,1
MGRO.JK,2022,negative,1
MGRO.JK,2023,neutral,1
MGRO.JK,2024,negative,1
MITI.JK,2021,positive,1
