Ticker,Year,YoY_Close_Category,Ticker_Fold
ADRO.JK,2021,positive,0
ADRO.JK,2022,negative,0
APEX.JK,2021,negative,0
APEX.JK,2022,negative,0
ARII.JK,2021,negative,0
ARII.JK,2022,negative,0
ARNA.JK,2021,positive,0
ARNA.JK,2022,negative,0
BIPI.JK,2022,positive,0
BIPP.JK,2021,negative,0
BIPP.JK,2022,negative,0
BKDP.JK,2021,positive,0
BKDP.JK,2022,negative,0
BLTA.JK,2021,neutral,0
BLTA.JK,2022,neutral,0
BLUE.JK,2022,positive,0
BMSR.JK,2021,positive,0
BMSR.JK,2022,negative,0
BOLT.JK,2021,positive,0
BOLT.JK,2022,negative,0
BUMI.JK,2021,positive,0
BUMI.JK,2022,positive,0
CINT.JK,2021,positive,0
CINT.JK,2022,negative,0
CTTH.JK,2021,negative,0
CTTH.JK,2022,neutral,0
DSNG.JK,2021,neutral,0
DSNG.JK,2022,neutral,0
FAST.JK,2021,negative,0
FAST.JK,2022,negative,0
FIRE.JK,2021,negative,0
FIRE.JK,2022,negative,0
GAMA.JK,2021,neutral,0
GHON.JK,2021,neutral,0
GHON.JK,2022,negative,0
GMFI.JK,2021,negative,0
GMFI.JK,2022,negative,0
GOLD.JK,2021,negative,0
GOLD.JK,2022,positive,0
GTBO.JK,2021,neutral,0
GTBO.JK,2022,positive,0
HKMU.JK,2021,negative,0
HKMU.JK,2022,neutral,0
IDPR.JK,2021,positive,0
IDPR.JK,2022,negative,0
IMPC.JK,2021,positive,0
IMPC.JK,2022,positive,0
INAF.JK,2021,negative,0
INAF.JK,2022,negative,0
INAI.JK,2021,negative,0
INAI.JK,2022,negative,0
INDO.JK,2022,neutral,0
IPCM.JK,2022,neutral,0
JSPT.JK,2021,neutral,0
JSPT.JK,2022,neutral,0
KOPI.JK,2021,negative,0
KOPI.JK,2022,negative,0
LPPF.JK,2021,positive,0
LPPF.JK,2022,negative,0
MBTO.JK,2021,negative,0
MBTO.JK,2022,negative,0
MDKA.JK,2021,positive,0
MDKA.JK,2022,negative,0
MGNA.JK,2021,neutral,0
MGNA.JK,2022,neutral,0
MMLP.JK,2021,negative,0
MMLP.JK,2022,negative,0
MPPA.JK,2021,negative,0
MPPA.JK,2022,negative,0
MPRO.JK,2021,positive,0
MPRO.JK,2022,positive,0
MRAT.JK,2021,negative,0
MRAT.JK,2022,positive,0
MSIN.JK,2021,positive,0
MSIN.JK,2022,negative,0
MYOR.JK,2021,negative,0
MYOR.JK,2022,positive,0
PANR.JK,2021,positive,0
PANR.JK,2022,positive,0
PGJO.JK,2022,positive,0
PJAA.JK,2021,positive,0
PJAA.JK,2022,positive,0
