Ticker,Year,YoY_Close_Category,Tone_Label_Prob,Negative_Prob,Neutral_Prob,Positive_Prob
MBSS,2023,negative,negative,0.9929513335227966,0.00588862132281065,0.0011600503930822015
MBTO,2024,positive,negative,0.8133701086044312,0.13711883127689362,0.04951104521751404
MDKA,2021,positive,positive,0.0055529046803712845,0.0010346135823056102,0.993412435054779
MDKA,2023,negative,negative,0.5547265410423279,0.27551138401031494,0.16976206004619598
MDRN,2021,neutral,negative,0.9567177891731262,0.007795712444931269,0.035486381500959396
MICE,2021,positive,positive,0.09040624648332596,0.0030084915924817324,0.9065852761268616
MICE,2024,negative,positive,0.17821598052978516,0.08873464167118073,0.7330493927001953
MIKA,2021,neutral,positive,0.21786409616470337,0.0018542929319664836,0.7802816033363342
MITI,2022,positive,negative,0.9793046116828918,0.0016614726046100259,0.019033923745155334
MLBI,2022,negative,negative,0.9987518787384033,0.0011159044224768877,0.0001321282470598817
MLPL,2024,positive,positive,0.4813460409641266,0.03345474228262901,0.4851992428302765
MMLP,2023,negative,negative,0.9119251370429993,0.02589724212884903,0.062177613377571106
MOLI,2023,positive,negative,0.9995065927505493,0.000253521662671119,0.00023987160238903016
MRAT,2022,positive,negative,0.751666247844696,0.22776289284229279,0.020570827648043633
MSIN,2023,negative,negative,0.9985987544059753,0.0009119294700212777,0.0004892098368145525
MTDL,2021,positive,negative,0.6224373579025269,0.0075541832484304905,0.3700084388256073
MTLA,2024,positive,negative,0.7933046221733093,0.11064540594816208,0.0960499569773674
MYOR,2021,negative,positive,0.001642226125113666,0.01794067770242691,0.980417013168335
MYOR,2022,positive,negative,0.9768425226211548,0.0230654738843441,9.194507583742961e-05
PANI,2022,positive,negative,0.998406708240509,0.000717814196832478,0.0008755535818636417
PBRX,2023,negative,negative,0.9991214871406555,0.0006773038767278194,0.00020116874657105654
PGLI,2023,negative,negative,0.9987838864326477,0.0011101345298811793,0.0001059442656696774
PICO,2024,positive,positive,0.24400117993354797,0.07660960406064987,0.679389238357544
PKPK,2023,positive,negative,0.9699383974075317,0.0002532863290980458,0.029808243736624718
PLIN,2022,neutral,negative,0.6202566623687744,0.05272145941853523,0.3270218074321747
PLIN,2024,neutral,positive,0.11766921728849411,0.12947265803813934,0.75285804271698
PMJS,2024,negative,negative,0.9399076104164124,0.016806364059448242,0.043285977095365524
POLL,2024,neutral,negative,0.9929566383361816,0.0012556546134874225,0.00578770088031888
POLU,2021,positive,negative,0.9968255758285522,0.0017534903017804027,0.0014209836954250932
POLU,2022,negative,negative,0.9990990161895752,0.0008084027795121074,9.263641550205648e-05
POLU,2023,positive,negative,0.9993784427642822,0.0003374182269908488,0.00028415824635885656
POWR,2023,negative,negative,0.9956272840499878,0.00016813688853289932,0.004204490687698126
PPRE,2021,negative,negative,0.9986125230789185,0.00018213724251836538,0.0012053338577970862
PRIM,2022,negative,negative,0.9986637830734253,0.0005312985158525407,0.0008049544412642717
PRIM,2024,positive,neutral,0.01036900095641613,0.5985006093978882,0.39113038778305054
PSDN,2021,negative,negative,0.8823907971382141,0.09853332489728928,0.01907581463456154
PSSI,2022,negative,negative,0.9845336675643921,0.0016686484450474381,0.013797645457088947
PSSI,2023,negative,negative,0.9791435599327087,0.020204640924930573,0.0006517604924738407
PTIS,2021,negative,negative,0.9892309308052063,0.007008953485637903,0.003760163439437747
PTIS,2022,positive,negative,0.9997860789299011,4.743761382997036e-05,0.00016644351126160473
RODA,2022,negative,negative,0.9900806546211243,0.009657352231442928,0.0002620707964524627
ROTI,2023,negative,negative,0.9992262125015259,0.0006989366956986487,7.48337188269943e-05
RSGK,2024,positive,neutral,0.2548687160015106,0.6292765140533447,0.11585475504398346
SAFE,2024,neutral,negative,0.6998557448387146,0.004443270619958639,0.2957010269165039
SBAT,2022,neutral,negative,0.9993700385093689,0.0005555193056352437,7.451290002791211e-05
SBMA,2024,negative,positive,0.11857843399047852,0.0008317747269757092,0.8805898427963257
SCMA,2022,negative,positive,0.02627391554415226,0.0012931391829624772,0.9724329113960266
SDMU,2022,negative,negative,0.7382183074951172,0.2603227198123932,0.0014589891070500016
SDMU,2024,positive,positive,0.09524130076169968,0.0023841664660722017,0.9023745059967041
SGRO,2022,negative,negative,0.6156817674636841,0.3814854025840759,0.002832842292264104
SGRO,2023,neutral,negative,0.9990255832672119,0.0008247208897955716,0.00014964902948122472
SHID,2021,neutral,neutral,0.047487180680036545,0.9519174695014954,0.0005952906212769449
SHIP,2021,positive,negative,0.9997702240943909,8.932137279771268e-05,0.00014051218749955297
SIDO,2022,negative,negative,0.9989656209945679,0.0006006656913086772,0.00043372809886932373
SILO,2024,negative,negative,0.9957979321479797,0.0004557101638056338,0.003746303729712963
SIMP,2021,neutral,negative,0.9968969821929932,0.002413033740594983,0.0006899792933836579
SKBM,2023,negative,negative,0.9993427395820618,0.00021705569815821946,0.00044023734517395496
SKRN,2021,positive,negative,0.9996076226234436,0.000195602624444291,0.0001968560682144016
SKRN,2022,positive,negative,0.983157217502594,0.012083425186574459,0.004759281873703003
SMCB,2023,negative,negative,0.7202134728431702,0.27907469868659973,0.0007118491339497268
SMGR,2021,negative,negative,0.6384447813034058,0.32140302658081055,0.040152136236429214
SMKL,2022,negative,negative,0.9995458722114563,0.00022430597164202482,0.00022985768737271428
SONA,2023,negative,negative,0.9821560978889465,0.01767158694565296,0.00017229124205186963
SOSS,2021,neutral,negative,0.8383187651634216,0.1257731318473816,0.03590822219848633
SOSS,2022,positive,negative,0.9992114305496216,0.00024777743965387344,0.0005407272255979478
SOSS,2024,neutral,negative,0.9994257688522339,0.00020749837858602405,0.00036676565650850534
SPMA,2023,negative,negative,0.9980676770210266,0.0012559486785903573,0.0006763643468730152
SRAJ,2023,positive,negative,0.9906141757965088,0.009118413552641869,0.0002673686249181628
SRAJ,2024,positive,negative,0.5624095797538757,0.4156014025211334,0.021989036351442337
SUPR,2024,positive,negative,0.9850521087646484,0.013151581399142742,0.0017963097197934985
SWAT,2022,negative,negative,0.6778767704963684,0.0036602411419153214,0.31846293807029724
SWAT,2023,negative,negative,0.9989020824432373,0.0009802266722545028,0.00011770839773816988
TALF,2023,positive,negative,0.9949239492416382,0.004913522861897945,0.00016251283523160964
TBIG,2024,positive,positive,0.017335813492536545,0.0004953312454745173,0.9821688532829285
TKIM,2022,negative,negative,0.9918831586837769,0.0012597625609487295,0.006857036612927914
TLKM,2023,negative,negative,0.9991769194602966,0.00014201125304680318,0.0006810353952459991
TOTO,2022,negative,positive,0.20039692521095276,0.000942568585742265,0.7986605167388916
TOTO,2023,negative,positive,0.08664432168006897,0.0008106722962111235,0.9125449657440186
TPMA,2023,positive,negative,0.9997455477714539,0.0001262649748241529,0.00012825238809455186
