Ticker,Ticker_Fold,Year,YoY_Close_Category,Tone_Label_Prob,Negative_Prob,Neutral_Prob,Positive_Prob
ADRO,0,2021,positive,neutral,0.4158787131309509,0.507242739200592,0.0768786072731018
ADRO,0,2022,negative,positive,0.005719170905649662,0.0703519880771637,0.9239288568496704
ADRO,0,2023,positive,negative,0.9139954447746277,0.07183171808719635,0.014172893948853016
ADRO,0,2024,neutral,negative,0.7664427161216736,0.20205070078372955,0.031506653875112534
APEX,0,2021,negative,negative,0.5236638784408569,0.4454062879085541,0.030929865315556526
APEX,0,2022,negative,negative,0.6840143799781799,0.2810042202472687,0.03498147428035736
APEX,0,2023,negative,negative,0.8464888334274292,0.13123150169849396,0.022279707714915276
APEX,0,2024,negative,negative,0.8347368836402893,0.15527254343032837,0.009990634396672249
ARII,0,2021,negative,neutral,0.07749075442552567,0.9088470339775085,0.013662243261933327
ARII,0,2022,negative,negative,0.7505807876586914,0.22319601476192474,0.026223162189126015
ARII,0,2023,positive,neutral,0.2715977430343628,0.6563987731933594,0.07200349122285843
ARII,0,2024,neutral,neutral,0.024048639461398125,0.5437878370285034,0.4321635961532593
ARNA,0,2021,positive,negative,0.807888925075531,0.1549321413040161,0.03717892989516258
ARNA,0,2022,negative,positive,0.3896210193634033,0.1718529760837555,0.4385260045528412
ARNA,0,2023,negative,negative,0.9846426844596863,0.0017097295494750142,0.013647574000060558
ARNA,0,2024,positive,neutral,0.24657893180847168,0.7470691204071045,0.006352037191390991
BIKE,0,2024,neutral,negative,0.9559065699577332,0.029992207884788513,0.014101228676736355
BIPI,0,2022,positive,negative,0.8980348110198975,0.08636868000030518,0.015596524812281132
BIPI,0,2023,negative,positive,0.21008986234664917,0.15773998200893402,0.6321702003479004
BIPI,0,2024,positive,neutral,0.028028275817632675,0.9581602811813354,0.01381139550358057
BIPP,0,2021,negative,neutral,0.19274026155471802,0.7992191910743713,0.008040503598749638
BIPP,0,2022,negative,neutral,0.0612608902156353,0.9358344078063965,0.002904712688177824
BIPP,0,2023,negative,negative,0.5702970623970032,0.4274786710739136,0.002224317751824856
BIPP,0,2024,positive,negative,0.9307357668876648,0.058481186628341675,0.010783068835735321
BKDP,0,2021,positive,negative,0.7528623342514038,0.1800270527601242,0.06711062043905258
BKDP,0,2022,negative,neutral,0.1395777314901352,0.8473044633865356,0.013117795810103416
BKDP,0,2023,negative,negative,0.799075722694397,0.15827365219593048,0.04265068843960762
BKDP,0,2024,negative,negative,0.8719453811645508,0.12211547791957855,0.005939168389886618
BLTA,0,2021,neutral,negative,0.7736195921897888,0.20510230958461761,0.021278079599142075
BLTA,0,2022,neutral,neutral,0.08418074250221252,0.9060952663421631,0.00972408801317215
BLTA,0,2023,negative,negative,0.8054352402687073,0.1891864687204361,0.005378259811550379
BLTA,0,2024,positive,neutral,0.3013013005256653,0.6887303590774536,0.009968305006623268
BLUE,0,2022,positive,positive,0.1554233580827713,0.06800365447998047,0.7765729427337646
BLUE,0,2023,positive,positive,0.04758433252573013,0.19138553738594055,0.7610300779342651
BLUE,0,2024,neutral,neutral,0.44280800223350525,0.552367091178894,0.004824870731681585
BMSR,0,2021,positive,positive,0.01537375058978796,0.08526763319969177,0.8993585705757141
BMSR,0,2022,negative,negative,0.8489384651184082,0.1485377997159958,0.0025237828958779573
BMSR,0,2023,neutral,neutral,0.17311915755271912,0.8154767751693726,0.011404076591134071
BMSR,0,2024,negative,neutral,0.15527135133743286,0.8382090926170349,0.006519554648548365
BOLT,0,2021,positive,positive,0.017839612439274788,0.30176085233688354,0.6803995370864868
BOLT,0,2022,negative,negative,0.9800351858139038,0.01911286637187004,0.0008518733084201813
BOLT,0,2023,positive,neutral,0.3588547706604004,0.620439350605011,0.020705830305814743
BOLT,0,2024,positive,negative,0.7420362234115601,0.2529216706752777,0.005042067263275385
BUMI,0,2021,positive,neutral,0.2963700592517853,0.3756659924983978,0.32796400785446167
BUMI,0,2022,positive,neutral,0.3020887076854706,0.6581948399543762,0.03971647471189499
BUMI,0,2023,negative,positive,0.015866735950112343,0.2901737689971924,0.6939594149589539
BUMI,0,2024,positive,negative,0.9271358847618103,0.03779247775673866,0.03507160395383835
CINT,0,2021,positive,positive,0.016896089538931847,0.35692453384399414,0.6261793375015259
CINT,0,2022,negative,negative,0.6939758658409119,0.2669266164302826,0.039097607135772705
CINT,0,2023,negative,negative,0.9541670083999634,0.03091895394027233,0.014913964085280895
CINT,0,2024,positive,negative,0.9353820085525513,0.0357988178730011,0.028819095343351364
CTTH,0,2021,negative,neutral,0.15657107532024384,0.8332067131996155,0.010222144424915314
CTTH,0,2022,neutral,neutral,0.46463876962661743,0.5267362594604492,0.008624953217804432
CTTH,0,2023,negative,neutral,0.38181379437446594,0.611861526966095,0.006324766203761101
CTTH,0,2024,positive,negative,0.6640000939369202,0.25927749276161194,0.07672242820262909
DGNS,0,2023,neutral,positive,0.1363968551158905,0.150766059756279,0.7128370404243469
DGNS,0,2024,negative,negative,0.8326715230941772,0.12482446432113647,0.042503975331783295
DSNG,0,2021,neutral,neutral,0.01630563847720623,0.9810371398925781,0.002657179720699787
DSNG,0,2022,neutral,negative,0.4071049392223358,0.40020743012428284,0.19268763065338135
DSNG,0,2023,positive,neutral,0.13506488502025604,0.8604145050048828,0.00452051218599081
DSNG,0,2024,positive,neutral,0.10987546294927597,0.8872358202934265,0.0028886704239994287
FAST,0,2021,negative,positive,0.264360249042511,0.31461459398269653,0.4210250675678253
FAST,0,2022,negative,neutral,0.07019781321287155,0.9180157780647278,0.011786391958594322
FAST,0,2023,negative,negative,0.9958679676055908,0.002844337373971939,0.0012876903638243675
FAST,0,2024,negative,negative,0.8239421844482422,0.1674150824546814,0.008642727509140968
FIRE,0,2021,negative,neutral,0.09733603149652481,0.8828811645507812,0.019782766699790955
FIRE,0,2022,negative,negative,0.9316619634628296,0.01092515792697668,0.057412877678871155
FIRE,0,2023,positive,negative,0.9681383371353149,0.029115907847881317,0.0027457172982394695
FIRE,0,2024,negative,negative,0.9326016306877136,0.05494216829538345,0.012456277385354042
GAMA,0,2021,neutral,neutral,0.37373819947242737,0.6211286783218384,0.0051331305876374245
GHON,0,2021,neutral,neutral,0.1219528540968895,0.7593269944190979,0.1187201738357544
GHON,0,2022,negative,negative,0.8727684020996094,0.11193152517080307,0.015300084836781025
GHON,0,2023,neutral,negative,0.8883026838302612,0.10374367237091064,0.007953745312988758
GHON,0,2024,neutral,neutral,0.400115042924881,0.5665062665939331,0.03337875008583069
GMFI,0,2021,negative,positive,0.22056511044502258,0.11705881357192993,0.6623761057853699
GMFI,0,2022,negative,neutral,0.006806433200836182,0.9881330132484436,0.00506060104817152
GMFI,0,2023,negative,negative,0.5142505764961243,0.46759331226348877,0.018156081438064575
GMFI,0,2024,positive,positive,0.25762513279914856,0.011380459181964397,0.7309944033622742
GOLD,0,2021,negative,negative,0.9290616512298584,0.06860323250293732,0.0023351237177848816
GOLD,0,2022,positive,neutral,0.014728779904544353,0.9817028641700745,0.003568328684195876
GOLD,0,2023,negative,negative,0.7736386060714722,0.21982404589653015,0.0065374067053198814
GOLD,0,2024,negative,neutral,0.2633435130119324,0.7219323515892029,0.014724068343639374
GTBO,0,2021,neutral,neutral,0.17349372804164886,0.8175781965255737,0.008928063325583935
GTBO,0,2022,positive,positive,0.008171925321221352,0.025971533730626106,0.9658565521240234
GTBO,0,2023,positive,positive,0.009451749734580517,0.0893600806593895,0.9011881351470947
GTBO,0,2024,negative,neutral,0.19791275262832642,0.6581162214279175,0.1439710408449173
HKMU,0,2021,negative,negative,0.7298479676246643,0.2641482651233673,0.006003817077726126
HKMU,0,2022,neutral,negative,0.6762319803237915,0.3175464868545532,0.006221517454832792
HOKI,0,2024,negative,negative,0.9957500696182251,0.003018336370587349,0.001231587491929531
IDPR,0,2021,positive,negative,0.9718062281608582,0.02624727599322796,0.0019465078366920352
IDPR,0,2022,negative,neutral,0.06550461053848267,0.9262292981147766,0.008266046643257141
IDPR,0,2023,negative,negative,0.9861504435539246,0.009753936901688576,0.0040955934673547745
IDPR,0,2024,positive,negative,0.8531954884529114,0.1372888833284378,0.009515550918877125
IMPC,0,2021,positive,neutral,0.021410996094346046,0.9751590490341187,0.003429913893342018
IMPC,0,2022,positive,negative,0.7018114924430847,0.27788665890693665,0.020301900804042816
IMPC,0,2023,neutral,neutral,0.4591505229473114,0.5321944355964661,0.008655082434415817
IMPC,0,2024,negative,negative,0.8988579511642456,0.08488626033067703,0.01625576801598072
INAF,0,2021,negative,negative,0.9500430226325989,0.048137810081243515,0.001819147844798863
INAF,0,2022,negative,negative,0.949042558670044,0.02446138486266136,0.0264960415661335
INAF,0,2023,negative,negative,0.9695741534233093,0.029201917350292206,0.0012238583294674754
INAF,0,2024,neutral,negative,0.9241018891334534,0.07442127913236618,0.0014768667751923203
