Ticker,Year,YoY_Close_Category,Tone_Label_Prob,Negative_Prob,Neutral_Prob,Positive_Prob
AALI,2024,positive,negative,0.9842796325683594,0.012711366638541222,0.003008902305737138
ABMM,2024,negative,negative,0.9980199337005615,0.0015621903585270047,0.00041781249456107616
ACES,2024,negative,negative,0.9988273978233337,0.0004838572349399328,0.0006886921473778784
ACST,2024,negative,negative,0.9987180233001709,0.00037901001633144915,0.000903029169421643
ADCP,2024,neutral,negative,0.985928475856781,0.01312325894832611,0.000948226370383054
ADES,2024,neutral,negative,0.9865201711654663,0.010192407295107841,0.0032874378375709057
ADHI,2024,positive,negative,0.9920012950897217,0.006872761528939009,0.0011258800514042377
ADMG,2024,neutral,positive,0.2021200954914093,0.004171451553702354,0.7937084436416626
ADMR,2024,negative,positive,0.0013914755545556545,0.024937469512224197,0.973671019077301
ADRO,2024,neutral,negative,0.997174859046936,0.00047622385318391025,0.002348923357203603
AGII,2024,negative,positive,0.36659809947013855,0.010077140294015408,0.6233248114585876
AIMS,2024,negative,negative,0.9995712637901306,5.3388605010695755e-05,0.00037533335853368044
AISA,2024,positive,negative,0.7672628164291382,0.005736939143389463,0.22700025141239166
AKPI,2024,negative,negative,0.9994328618049622,0.00035548009327612817,0.00021162671328056604
AKRA,2024,negative,negative,0.7653638124465942,0.0009303156984969974,0.23370575904846191
AKSI,2024,positive,negative,0.9988728165626526,9.512267570244148e-05,0.001032050233334303
ALDO,2024,positive,negative,0.9971961975097656,0.0024614636786282063,0.0003423142770770937
ALKA,2024,negative,negative,0.9997411370277405,9.745501301949844e-05,0.00016140396473929286
ALMI,2024,positive,negative,0.9993280172348022,0.00041264857281930745,0.00025933104916475713
AMAN,2024,negative,negative,0.9708324670791626,0.028148412704467773,0.0010191370965912938
AMFG,2024,negative,negative,0.881665825843811,0.0019107069820165634,0.11642349511384964
AMIN,2024,neutral,negative,0.8284221887588501,0.03408800810575485,0.13748984038829803
AMRT,2024,negative,negative,0.5407637357711792,0.003234069561585784,0.4560021758079529
ANDI,2024,positive,negative,0.9920119643211365,0.004970086272805929,0.0030179007444530725
ANJT,2024,positive,negative,0.9697553515434265,0.0018541652243584394,0.028390495106577873
ANTM,2024,positive,neutral,0.2444118708372116,0.7264812588691711,0.029106883332133293
APEX,2024,negative,negative,0.4372698664665222,0.42870083451271057,0.13402923941612244
APII,2024,neutral,negative,0.9974551796913147,0.0001696359395282343,0.002375188050791621
APLN,2024,neutral,neutral,0.004495232831686735,0.5856702923774719,0.40983444452285767
ARCI,2024,positive,negative,0.7616085410118103,0.2297346442937851,0.008656776510179043
ARGO,2024,negative,negative,0.9991043210029602,0.00039876281516626477,0.0004969285801053047
ARII,2024,neutral,negative,0.9605414271354675,0.003580421209335327,0.03587811812758446
ARKA,2024,positive,positive,0.47345370054244995,0.0023596142418682575,0.5241867303848267
ARNA,2024,positive,negative,0.9987949132919312,0.0008453181944787502,0.00035972989280708134
ARTA,2024,negative,negative,0.9951145648956299,0.0010178977390751243,0.003867444582283497
ARTI,2024,neutral,negative,0.9993571639060974,0.0001693602534942329,0.00047342281322926283
ASGR,2024,positive,negative,0.5241387486457825,0.005304645746946335,0.47055667638778687
ASLC,2024,negative,negative,0.998354434967041,0.0007453396101482213,0.0009001896833069623
ASPI,2024,negative,negative,0.9993942975997925,0.00032632588408887386,0.0002793943276628852
ASRI,2024,neutral,negative,0.9826310276985168,0.010504046455025673,0.006864938419312239
ATAP,2024,negative,negative,0.9971645474433899,0.0018868299666792154,0.0009485722403042018
ATIC,2024,positive,neutral,0.029210783541202545,0.9684123992919922,0.002376922406256199
AUTO,2024,positive,negative,0.9994605183601379,5.4206593631533906e-05,0.00048524027806706727
AYLS,2024,positive,negative,0.997954249382019,0.00043838389683514833,0.0016073985025286674
BAJA,2024,positive,negative,0.9964700937271118,0.0025423436891287565,0.000987584120593965
BALI,2024,positive,negative,0.9986026883125305,0.0003225087421014905,0.001074799569323659
BAPA,2024,neutral,negative,0.9983003735542297,0.0011365881655365229,0.0005630046362057328
BATA,2024,negative,negative,0.9918572902679443,0.006949126720428467,0.0011936285300180316
BAUT,2024,positive,negative,0.9996604919433594,0.00012888356286566705,0.0002105549065163359
BAYU,2024,neutral,negative,0.9949295520782471,0.004281757399439812,0.0007887607789598405
BBRM,2024,positive,negative,0.922899067401886,0.0013135445769876242,0.07578741014003754
BCIP,2024,positive,negative,0.9982172846794128,0.0005227262154221535,0.001259976183064282
BEEF,2024,positive,negative,0.9973868727684021,0.0013619762612506747,0.0012511429376900196
BELL,2024,negative,negative,0.6174400448799133,0.0473705530166626,0.3351894021034241
BEST,2024,neutral,positive,0.08398178964853287,0.010348162613809109,0.9056701064109802
BHIT,2024,negative,negative,0.9989877343177795,0.00011835381883429363,0.0008939179824665189
BIKE,2024,neutral,negative,0.6291949152946472,0.02088182419538498,0.3499232530593872
BIMA,2024,negative,negative,0.9991382360458374,0.00034279978717677295,0.0005188942886888981
BINO,2024,negative,negative,0.9988297820091248,0.0003602031501941383,0.0008100634440779686
BIPI,2024,positive,positive,0.07845848798751831,0.001406510011292994,0.9201350212097168
BIPP,2024,positive,negative,0.510316014289856,0.46792033314704895,0.02176368236541748
BIRD,2024,positive,positive,0.44892993569374084,0.002144759986549616,0.5489253401756287
BKDP,2024,negative,negative,0.8462114334106445,0.1412636935710907,0.012524890713393688
BKSL,2024,positive,negative,0.9959836006164551,0.0033084687311202288,0.0007079539936967194
BLTA,2024,positive,positive,0.007882705889642239,0.0017100294353440404,0.9904072880744934
BLTZ,2024,negative,negative,0.6492106318473816,0.2943534553050995,0.05643600597977638
BLUE,2024,neutral,negative,0.9795141220092773,0.0021712048910558224,0.018314747139811516
BMHS,2024,negative,positive,0.20418043434619904,0.00889816228300333,0.7869213819503784
BMSR,2024,negative,neutral,0.3893609344959259,0.6061030626296997,0.004535987973213196
BMTR,2024,negative,negative,0.9993441700935364,0.0004485772515181452,0.00020731253607664257
BNBR,2024,positive,positive,0.29488223791122437,0.006365612149238586,0.6987521648406982
BOBA,2024,neutral,positive,0.15228153765201569,0.015507466159760952,0.8322110176086426
BOGA,2024,negative,negative,0.9854187965393066,0.00040496207657270133,0.014176259748637676
BOLA,2024,negative,negative,0.9993953704833984,8.548908226657659e-05,0.0005191372474655509
