Ticker,Ticker_Fold,Year,YoY_Close_Category,Tone_Label_Prob,Negative_Prob,Neutral_Prob,Positive_Prob
ABBA,5,2021,positive,positive,0.004564664326608181,0.006826764903962612,0.9886085987091064
ABBA,5,2022,negative,negative,0.9351608753204346,0.057852473109960556,0.006986625492572784
ABBA,5,2023,negative,negative,0.5822358727455139,0.41489937901496887,0.002864761045202613
ADES,5,2021,positive,positive,0.019252663478255272,0.13460266590118408,0.8461446762084961
ADES,5,2022,positive,negative,0.5616581439971924,0.008689645677804947,0.42965224385261536
ADES,5,2023,positive,positive,0.0009818391408771276,0.0005557831027545035,0.998462438583374
ADES,5,2024,neutral,positive,0.0007662785355933011,0.0005729711265303195,0.998660683631897
ADMG,5,2022,negative,negative,0.6213443875312805,0.3543702960014343,0.02428535372018814
ADMG,5,2024,neutral,negative,0.9135530591011047,0.025592796504497528,0.06085411086678505
AKKU,5,2021,neutral,positive,0.36781275272369385,0.12948006391525269,0.5027072429656982
AKKU,5,2022,neutral,negative,0.9875246286392212,0.011656486429274082,0.000818821310531348
AKSI,5,2021,negative,negative,0.6720730066299438,0.3244872987270355,0.0034397237468510866
AKSI,5,2022,negative,negative,0.8628587126731873,0.1357538253068924,0.0013874557334929705
AKSI,5,2023,negative,negative,0.9710479974746704,0.01843743771314621,0.010514562018215656
AKSI,5,2024,positive,negative,0.520195484161377,0.4682265520095825,0.011577901430428028
ATAP,5,2024,negative,negative,0.5803744196891785,0.083999864757061,0.3356257379055023
BATA,5,2021,negative,neutral,0.025055697187781334,0.9681099653244019,0.00683437567204237
BATA,5,2023,negative,neutral,0.015421995893120766,0.9293627142906189,0.05521528050303459
BATA,5,2024,negative,neutral,0.34167706966400146,0.4355270564556122,0.2227959781885147
BAYU,5,2021,positive,positive,0.139839306473732,0.33842653036117554,0.5217341184616089
BAYU,5,2022,negative,negative,0.5591282248497009,0.2522110939025879,0.18866071105003357
BAYU,5,2023,positive,positive,0.4688083231449127,0.0020436090417206287,0.5291481018066406
BAYU,5,2024,neutral,positive,0.001361279166303575,0.0005114771774969995,0.998127281665802
BIMA,5,2021,positive,neutral,0.0306958369910717,0.9653740525245667,0.003930121660232544
BIMA,5,2022,negative,neutral,0.07831458002328873,0.9201061725616455,0.0015792290214449167
BIMA,5,2023,negative,negative,0.8930856585502625,0.10457395017147064,0.002340379636734724
BMTR,5,2021,neutral,positive,0.0022091029677540064,0.0014103836147114635,0.9963805079460144
BMTR,5,2022,neutral,positive,0.01966981589794159,0.001250106724910438,0.9790800213813782
BMTR,5,2023,negative,positive,0.004817316774278879,0.0004214761720504612,0.9947611689567566
BRPT,5,2021,negative,negative,0.9694129228591919,0.006187089253216982,0.02440001256763935
BRPT,5,2022,negative,negative,0.6941382884979248,0.03713804483413696,0.26872366666793823
BRPT,5,2023,positive,negative,0.9673723578453064,0.029841206967830658,0.002786414697766304
BRPT,5,2024,positive,positive,0.3843350112438202,0.009603394195437431,0.606061577796936
BULL,5,2021,negative,neutral,0.02886396273970604,0.9569559693336487,0.014180146157741547
BULL,5,2022,negative,positive,0.02402837947010994,0.0024425259325653315,0.9735291004180908
BULL,5,2023,positive,negative,0.8924260139465332,0.0985228419303894,0.009051182307302952
BULL,5,2024,neutral,positive,0.01850450597703457,0.03040783479809761,0.9510875940322876
CNKO,5,2021,neutral,positive,0.003243088023737073,0.002501078648492694,0.9942558407783508
CNKO,5,2022,neutral,neutral,0.3311464488506317,0.6295546293258667,0.0392988920211792
CNKO,5,2024,positive,negative,0.834094226360321,0.1460818648338318,0.019823938608169556
COCO,5,2022,positive,positive,0.00423805508762598,0.0006515101413242519,0.9951104521751404
COCO,5,2024,positive,negative,0.8164362907409668,0.16670623421669006,0.016857517883181572
CPIN,5,2022,negative,positive,0.07860002666711807,0.0015738934744149446,0.919826090335846
CSIS,5,2021,neutral,negative,0.9541682004928589,0.034831784665584564,0.011000054888427258
CSIS,5,2023,negative,negative,0.9837717413902283,0.0145643912255764,0.0016638394445180893
