Ticker,Ticker_Fold,Year,YoY_Close_Category,Tone_Label_Prob,Negative_Prob,Neutral_Prob,Positive_Prob
AALI,4,2021,positive,negative,0.6158373355865479,0.36213794350624084,0.022024692967534065
AALI,4,2022,negative,negative,0.9458754658699036,0.03130346164107323,0.02282118983566761
AALI,4,2023,negative,negative,0.8613373041152954,0.08563800901174545,0.05302467569708824
AALI,4,2024,positive,negative,0.9129565358161926,0.06798706203699112,0.019056402146816254
ACES,4,2021,negative,negative,0.8787277936935425,0.11063645035028458,0.010635750368237495
ACES,4,2022,negative,negative,0.5917609930038452,0.3928443193435669,0.015394717454910278
ACES,4,2023,positive,negative,0.7410218715667725,0.07115784287452698,0.18782024085521698
ACES,4,2024,negative,negative,0.8395076990127563,0.0795484334230423,0.08094382286071777
ASLC,4,2024,negative,negative,0.7342037558555603,0.11757417023181915,0.14822204411029816
ASPI,4,2022,positive,negative,0.9037145972251892,0.04341553524136543,0.05286984145641327
ASPI,4,2023,positive,negative,0.7533384561538696,0.23214323818683624,0.014518318697810173
ASPI,4,2024,negative,negative,0.8275457620620728,0.12282513827085495,0.0496290847659111
ATIC,4,2021,negative,positive,0.2020610123872757,0.10031276941299438,0.6976262331008911
ATIC,4,2022,negative,neutral,0.46015265583992004,0.5111672878265381,0.028680169954895973
ATIC,4,2023,negative,negative,0.908125638961792,0.07866115868091583,0.013213231228291988
ATIC,4,2024,positive,negative,0.5071980953216553,0.477066308259964,0.01573554053902626
BALI,4,2021,positive,neutral,0.3465803861618042,0.47051289677619934,0.18290670216083527
BALI,4,2022,negative,negative,0.8206073641777039,0.13921038806438446,0.0401821993291378
BALI,4,2023,positive,negative,0.49290844798088074,0.050149720162153244,0.45694175362586975
BALI,4,2024,positive,negative,0.6337441802024841,0.05313878506422043,0.31311702728271484
BHIT,4,2021,negative,negative,0.5412579774856567,0.15849348902702332,0.30024847388267517
BHIT,4,2022,negative,negative,0.5789672136306763,0.0777086615562439,0.34332412481307983
BHIT,4,2023,negative,negative,0.8010188937187195,0.1213102713227272,0.07767083495855331
BHIT,4,2024,negative,negative,0.8003784418106079,0.09060478210449219,0.1090167909860611
BNBR,4,2021,neutral,negative,0.5974160432815552,0.33869442343711853,0.06388964504003525
BNBR,4,2022,negative,negative,0.7253735661506653,0.18474788963794708,0.08987852931022644
BNBR,4,2023,negative,negative,0.6584246754646301,0.11474224925041199,0.22683309018611908
BNBR,4,2024,positive,negative,0.6074711084365845,0.3556588888168335,0.036870088428258896
BOLA,4,2021,negative,negative,0.7851133346557617,0.20315438508987427,0.011732246726751328
BOLA,4,2022,negative,negative,0.9308847188949585,0.05570973828434944,0.013405525125563145
BOLA,4,2023,negative,negative,0.8364153504371643,0.1560787409543991,0.007505812682211399
BOLA,4,2024,negative,negative,0.6252120733261108,0.324594110250473,0.05019388347864151
BOSS,4,2021,negative,negative,0.8331953883171082,0.1474084109067917,0.01939620077610016
BOSS,4,2022,neutral,negative,0.7535696625709534,0.16655336320400238,0.07987694442272186
